id,name,difficulty,movement_pattern,target_muscles
211,weighted kneeling step with swing,3,push_vertical,delts
212,dumbbell incline row,3,pull_horizontal,upper back
214,side hip abduction,2,core,abductors
215,smith machine incline tricep extension - straight variation,2,isolation_upper,triceps
216,scapula dips,2,full_body,traps
217,cable bench press,3,push_horizontal,pectorals
218,lever reverse grip preacher curl with precision,2,isolation_upper,biceps
219,smith leg press,3,squat,glutes
220,barbell wrist curl,2,isolation_upper,forearms
221,barbell upright row v. 2,3,pull_horizontal,delts
224,kettlebell seated press with high,3,push_vertical,delts
225,kettlebell sumo high pull,3,full_body,traps
226,roller seated shoulder flexor depresor retractor,3,push_horizontal,pectorals
227,barbell reverse grip incline bench row,3,pull_horizontal,upper back
228,dumbbell rear fly,2,isolation_upper,delts
229,dumbbell palms in incline bench press,3,push_horizontal,triceps
230,dumbbell standing one arm concentration curl,2,isolation_upper,biceps
231,single style cable standing crunch (with rope attachment),2,core,abs
234,medicine ball close grip push up,2,push_horizontal,triceps
235,cable seated curl,2,isolation_upper,biceps
236,barbell standing calf raise,2,isolation_lower,calves
237,weighted hyperextension (on stability ball),2,hinge,spine
238,cable seated crunch,2,core,abs
239,cable concentration curl tempo,2,isolation_upper,biceps
240,smith shoulder press,3,push_vertical,delts
241,barbell wide reverse grip bench press,3,push_horizontal,pectorals
242,hamstring stretch,1,hinge,hamstrings
244,bridge - mountain climber (cross body),2,core,abs
245,split squats,2,lunge,quads
246,pointed cable palm rotational row,3,pull_horizontal,upper back
247,band seated hip internal rotation,3,hinge,glutes
248,smith one leg floor calf raise,2,isolation_lower,calves
249,lying leg-hip raise,2,core,abs
250,band single leg calf raise,2,isolation_lower,calves
251,lever horizontal one leg press,3,squat,glutes
253,band horizontal pallof press,3,core,abs
254,dumbbell reverse grip incline bench two arm row,3,pull_horizontal,upper back
255,bench dip on floor,2,full_body,triceps
256,barbell decline pullover,3,push_horizontal,pectorals
257,kettlebell windmill,3,core,abs
258,flexible cable triceps pushdown (v-bar),2,isolation_upper,triceps
259,weighted lunge with swing twisted,3,lunge,glutes
260,chest dip,2,push_horizontal,pectorals
263,triceps dip (between benches) - extreme variation,2,full_body,triceps
264,incline twisting sit-up,2,core,abs
265,one leg donkey calf raise,2,isolation_lower,calves
266,cable seated row with reverse,3,pull_horizontal,upper back
267,kettlebell double alternating hang clean,3,full_body,biceps
268,dumbbell standing overhead press,4,push_vertical,delts
269,stationary bike walk,3,full_body,cardiovascular system
531,dumbbell pullover on exercise ball,3,push_horizontal,pectorals
271,smith reverse grip bent over row,3,pull_horizontal,upper back
272,lever t bar row,3,pull_horizontal,upper back
273,medicine ball chest pass,3,push_horizontal,pectorals
274,barbell standing reverse grip curl resistance,2,isolation_upper,biceps
275,dumbbell incline curl,2,isolation_upper,biceps
276,barbell biceps curl (with arm blaster),2,isolation_upper,biceps
277,muscle-up (on vertical bar),5,pull_vertical,lats
278,upright smith incline bench press,3,push_horizontal,pectorals
281,isolation assisted seated pectoralis major stretch with stability ball,1,push_horizontal,pectorals
282,medicine ball supine chest throw,3,pull_horizontal,triceps
283,dumbbell one arm fly on exercise ball,2,isolation_upper,pectorals
284,lower back curl,2,isolation_upper,spine
285,dumbbell full can lateral raise,2,isolation_upper,delts
286,lying elbow to knee,2,core,abs
287,cable cross-over revers fly,2,isolation_upper,delts
325,dumbbell standing one arm curl (over incline bench),2,isolation_upper,biceps
289,band one arm single leg split squat,3,lunge,quads
291,dumbbell incline one arm lateral raise,2,isolation_upper,delts
292,assisted sit-up,2,core,abs
293,cable twist,3,core,abs
295,glute bridge two legs on bench (male),2,hinge,glutes
296,finger curls,2,isolation_upper,forearms
1298,deep push up,2,push_horizontal,pectorals
299,hack one leg calf raise,2,isolation_lower,calves
301,smith incline shoulder raises,2,full_body,serratus anterior
302,incline push-up,2,push_horizontal,pectorals
303,barbell front raise,2,isolation_upper,delts
304,dumbbell incline breeding,3,push_horizontal,pectorals
305,weighted seated bicep curl (on stability ball),2,isolation_upper,biceps
364,roller side lat stretch,1,pull_vertical,lats
307,hands clasped circular toe touch (male),2,core,glutes
308,potty squat with support,2,squat,glutes
309,smith seated wrist curl,2,isolation_upper,forearms
310,lever preacher curl,2,isolation_upper,biceps
311,kettlebell alternating renegade row,3,pull_horizontal,upper back
312,hanging oblique knee raise,2,core,abs
313,basic toe touch (male),2,core,glutes
314,dumbbell standing alternate overhead press,4,push_vertical,delts
315,band lying straight leg raise,2,core,abs
317,barbell sitted alternate leg raise (female),2,core,abs
318,dumbbell standing one arm extension,2,isolation_upper,triceps
319,wrist rollerer,3,full_body,forearms
320,frankenstein squat,3,squat,glutes
321,side-to-side chin with reverse,2,pull_vertical,lats
322,dumbbell incline press on exercise ball,3,push_horizontal,pectorals
324,lever reverse t-bar row,3,pull_horizontal,upper back
365,cable rear drive,3,full_body,triceps
327,weighted standing hand squeeze,3,full_body,forearms
328,bodyweight standing calf raise,2,isolation_lower,calves
329,dumbbell over bench neutral wrist curl,2,isolation_upper,biceps
330,one arm towel row,2,pull_horizontal,upper back
331,kettlebell seated press,3,push_vertical,delts
332,straddle planche,5,core,abs
333,kettlebell two arm military press,3,push_vertical,delts
334,dumbbell reverse wrist curl,2,isolation_upper,forearms
335,london bridge,3,pull_horizontal,upper back
337,tuck crunch,2,core,abs
338,dumbbell sumo pull through,3,hinge,glutes
339,gorilla chin,2,core,abs
340,sit-up v. 2,2,core,abs
341,barbell pin presses,3,full_body,triceps
342,lever seated calf raise,2,isolation_lower,calves
343,dumbbell pronate-grip triceps extension,2,isolation_upper,triceps
344,dumbbell one arm chest fly on exercise ball,2,isolation_upper,pectorals
346,dumbbell one arm pullover on exercise ball,3,push_horizontal,pectorals
347,dumbbell one arm kickback,2,isolation_upper,triceps
348,bodyweight squatting row (with towel),2,squat,upper back
349,lever seated dip,3,full_body,triceps
350,dumbbell decline shrug v. 2,3,isolation_upper,traps
351,barbell low bar squat,3,squat,glutes
352,dumbbell alternate biceps curl,2,isolation_upper,biceps
353,butterfly yoga pose,2,isolation_upper,adductors
354,lying (side) quads stretch,1,squat,quads
356,dumbbell one arm reverse preacher curl,2,isolation_upper,biceps
357,dumbbell incline hammer curl,2,isolation_upper,biceps
358,inverted row,2,pull_horizontal,upper back
359,weighted tricep dips,3,full_body,triceps
360,twisted leg raise,2,core,abs
361,dumbbell one arm bent-over row,3,pull_horizontal,upper back
362,band one arm twisting chest press,3,push_horizontal,pectorals
363,one leg squat,2,squat,glutes
367,targeted style smith close-grip bench press,3,push_horizontal,triceps
368,side lying hip adduction (male),2,isolation_lower,adductors
369,cable rope elevated seated row,3,pull_horizontal,upper back
370,lever donkey calf raise,2,isolation_lower,calves
371,dumbbell raise,2,push_vertical,delts
372,kettlebell alternating row,3,pull_horizontal,upper back
373,barbell bent arm pullover,3,pull_vertical,lats
374,dumbbell iron cross,5,push_vertical,delts
375,cable upright row,3,pull_horizontal,delts
377,incline push up depth jump,2,plyometric,pectorals
378,rear pull-up,4,pull_vertical,lats
379,lever gripless shrug v. 2,3,isolation_upper,traps
380,short stride run,2,full_body,cardiovascular system
382,ez bar french press on exercise ball,3,full_body,triceps
383,lever military press,3,push_vertical,delts
384,back pec stretch,1,pull_vertical,lats
385,lever seated hip abduction,3,core,abductors
387,roller seated single leg shoulder flexor depresor retractor,3,push_horizontal,pectorals
388,oblique crunch v. 2,2,core,abs
389,dumbbell standing bent over one arm triceps extension,2,isolation_upper,triceps
390,clock push-up,2,push_horizontal,pectorals
391,cable wide grip rear pulldown behind neck,3,pull_vertical,lats
392,front plank with twist,2,core,abs
393,rocky pull-up pulldown,4,pull_vertical,lats
394,ez barbell decline triceps extension,2,isolation_upper,triceps
397,one leg squat - expanded variation,2,squat,glutes
398,standing pelvic tilt,2,full_body,spine
399,cable kneeling crunch - gentle variation,2,core,abs
400,cable standing pulldown (with rope),3,full_body,biceps
401,dumbbell prone incline hammer curl,2,isolation_upper,biceps
402,dumbbell decline shrug,3,isolation_upper,traps
403,l-pull-up,4,pull_vertical,lats
404,dumbbell over bench wrist curl,2,isolation_upper,forearms
405,band step-up,2,lunge,glutes
407,exercise ball hug,3,full_body,spine
408,barbell seated good morning,4,hinge,glutes
409,pelvic tilt into bridge,2,hinge,glutes
410,cable russian twists (on stability ball),3,core,abs
411,ez-bar close-grip bench press,3,push_horizontal,triceps
412,dumbbell single leg deadlift with stepbox support,4,hinge,glutes
413,cable incline bench row - elite variation,3,pull_horizontal,upper back
414,cable one arm lateral bent-over,3,push_horizontal,pectorals
416,cable concentration extension (on knee),2,isolation_upper,triceps
417,medicine ball chest push from 3 point stance,3,push_horizontal,pectorals
418,barbell standing bradford press,3,push_vertical,delts
419,seated glute stretch,1,hinge,glutes
420,posterior tibialis stretch,1,full_body,calves
421,world greatest stretch,1,hinge,hamstrings
422,barbell seated twist,3,core,abs
424,barbell shrug,3,isolation_upper,traps
426,barbell full squat (back pov),3,squat,glutes
427,targeted style single leg calf raise (on a dumbbell),2,isolation_lower,calves
428,sphinx,2,full_body,spine
429,burpee,2,plyometric,cardiovascular system
430,band one arm twisting seated row,3,pull_horizontal,upper back
431,barbell incline row,3,pull_horizontal,upper back
432,lever shoulder press v. 3,3,push_vertical,delts
433,sissy squat isolation,2,squat,quads
435,barbell reverse grip decline bench press,4,push_horizontal,pectorals
436,dumbbell standing calf raise,2,isolation_lower,calves
437,band close-grip pulldown,3,pull_vertical,lats
438,cable seated overhead curl,2,isolation_upper,biceps
439,three bench dip,2,full_body,triceps
440,balance cable incline fly,2,isolation_upper,pectorals
441,lever lateral raise,2,isolation_upper,delts
442,ez bar seated close grip concentration curl,2,isolation_upper,biceps
443,dumbbell lateral raise,2,isolation_upper,delts
445,knee touch crunch,2,core,abs
446,dumbbell standing one arm reverse curl,2,isolation_upper,biceps
448,barbell reverse grip incline bench press,3,push_horizontal,pectorals
449,chin-up diagonal,4,pull_vertical,lats
450,dumbbell decline bench press,4,push_horizontal,pectorals
451,triple style sled one leg calf press on leg press,3,squat,calves
452,cable drag curl,2,isolation_upper,biceps
453,barbell standing overhead triceps extension,2,isolation_upper,triceps
455,jump rope,3,plyometric,cardiovascular system
456,dumbbell one arm reverse fly (with support),2,isolation_upper,delts
457,weighted front raise,2,isolation_upper,delts
458,dumbbell revers grip biceps curl,2,isolation_upper,biceps
459,self assisted inverse leg curl,2,hinge,hamstrings
460,band hip lift,3,hinge,glutes
462,dumbbell reverse fly,2,isolation_upper,delts
530,dumbbell push press,3,push_vertical,delts
464,barbell squat (on knees) with pure,3,squat,quads
465,dumbbell contralateral forward lunge,3,lunge,glutes
466,reverse grip machine lat pulldown,2,pull_vertical,lats
467,cable shrug,3,isolation_upper,traps
468,cable deadlift,4,hinge,glutes
469,scissor jumps (male),2,plyometric,cardiovascular system
470,cable one arm preacher curl,2,isolation_upper,biceps
471,barbell bench press,4,push_horizontal,pectorals
473,dumbbell rear delt row_shoulder,3,pull_horizontal,delts
474,barbell narrow stance squat,3,squat,glutes
475,dumbbell standing one arm curl over incline bench,2,isolation_upper,biceps
476,barbell lying extension,2,isolation_upper,triceps
477,dumbbell seated kickback,2,isolation_upper,triceps
478,barbell bent arm pullover - powerful variation,3,pull_vertical,lats
479,quarter sit-up,2,core,abs
480,dumbbell lying elbow press,3,full_body,triceps
483,incline push up depth jump with complex,2,plyometric,pectorals
484,modified hindu push-up (male),2,push_horizontal,pectorals
485,barbell reverse preacher curl inclined,2,isolation_upper,biceps
486,posterior step to overhead reach,2,core,abs
487,dumbbell incline fly,2,isolation_upper,pectorals
488,smith decline bench press,4,push_horizontal,pectorals
489,barbell speed squat,3,squat,glutes
490,band standing twisting crunch,2,core,abs
492,lever seated crunch v. 2,2,core,abs
493,landmine lateral raise,2,isolation_upper,delts
494,exercise ball alternating arm ups,3,pull_vertical,lats
495,cable reverse wrist curl,2,isolation_upper,forearms
497,cable kneeling rear delt row (with rope) (male) expanded,3,pull_horizontal,delts
498,weighted decline sit-up,2,core,abs
499,band reverse wrist curl,2,isolation_upper,forearms
500,ring dips,2,full_body,triceps
502,dumbbell seated shoulder press (parallel grip),3,push_vertical,delts
503,dumbbell peacher hammer curl,2,isolation_upper,biceps
504,kneeling lat stretch,1,pull_vertical,lats
505,dumbbell incline biceps curl,2,isolation_upper,biceps
506,assisted standing pull-up,4,pull_vertical,lats
507,fierce weighted straight bar dip,3,push_horizontal,pectorals
508,cable squat row (with rope attachment),3,squat,lats
509,incline push-up (on box),2,push_horizontal,pectorals
511,lever gripless shrug,3,isolation_upper,traps
512,astride jumps (male),2,plyometric,cardiovascular system
513,barbell standing wide grip biceps curl,2,isolation_upper,biceps
514,one arm dip,2,full_body,triceps
515,flexible assisted prone hamstring,3,hinge,hamstrings
516,weighted straight bar dip,3,push_horizontal,pectorals
517,chair leg extended stretch with modified,1,squat,quads
518,dumbbell one arm standing curl,2,isolation_upper,biceps
519,frog crunch,2,core,abs
521,lever one arm bent over row,3,pull_horizontal,upper back
522,cable twist (up-down),3,core,abs
523,barbell upright row v. 3,3,pull_horizontal,delts
524,inverted style inverse leg curl (on pull-up cable machine),2,hinge,hamstrings
525,dumbbell lying femoral,3,hinge,hamstrings
526,single leg calf raise (on a dumbbell),2,isolation_lower,calves
527,back and forth step,2,full_body,cardiovascular system
528,ez barbell anti gravity press,3,push_vertical,delts
529,dumbbells seated triceps extension,2,isolation_upper,triceps
533,triceps press,2,full_body,triceps
534,dumbbell side lying one hand raise,2,push_vertical,delts
536,lever t-bar reverse grip row,3,pull_horizontal,upper back
537,cable low fly,2,isolation_upper,pectorals
538,cable standing shoulder external rotation,3,push_vertical,delts
539,weighted one hand pull up,4,pull_vertical,lats
540,dumbbell seated one leg calf raise - hammer grip,2,isolation_lower,calves
550,chin-ups (narrow parallel grip),4,pull_vertical,upper back
542,dumbbell hammer curl on exercise ball,2,isolation_upper,biceps
543,dumbbell alternate hammer preacher curl,2,isolation_upper,biceps
544,weighted russian twist,3,core,abs
545,cable curl,2,isolation_upper,biceps
546,macro style weighted one hand pull up,4,pull_vertical,lats
547,curl-up,2,core,abs
548,sled lying calf press,3,full_body,calves
549,cable kneeling rear delt row (with rope) (male),3,pull_horizontal,delts
552,barbell sitted alternate leg raise,2,core,abs
553,ez bar reverse grip bent over row,3,pull_horizontal,upper back
554,kettlebell one arm row,3,pull_horizontal,upper back
555,back lever,5,pull_horizontal,upper back
556,cable triceps pushdown (v-bar),2,isolation_upper,triceps
557,cable alternate triceps extension,2,isolation_upper,triceps
558,incline scapula push up,2,push_horizontal,serratus anterior
559,hanging pike with intense,2,core,abs
561,sled closer hack squat,3,squat,glutes
562,barbell overhead squat,3,squat,quads
563,dumbbell step-up lunge,2,lunge,quads
564,barbell single leg split squat,3,lunge,quads
565,dumbbell seated alternate front raise,2,isolation_upper,delts
566,dumbbell standing alternating tricep kickback,2,isolation_upper,triceps
567,glute bridge march,2,hinge,glutes
568,weighted close grip chin-up on dip cage,4,pull_vertical,lats
570,dumbbell single leg deadlift,4,hinge,glutes
571,exercise ball supine triceps extension,2,isolation_upper,triceps
572,high style scapula push-up,2,push_horizontal,serratus anterior
573,stability ball crunch (full range hands behind head),2,core,abs
574,barbell high bar squat,3,squat,glutes
575,dumbbell hammer curls (with arm blaster),2,isolation_upper,biceps
576,cable lateral raise,2,isolation_upper,delts
577,exercise ball one legged diagonal kick hamstring curl,2,hinge,glutes
579,barbell decline bench press,4,push_horizontal,pectorals
580,bodyweight side lying biceps curl,2,isolation_upper,biceps
581,upper back stretch,1,pull_horizontal,upper back
582,sit-up with arms on chest with mini,2,core,abs
583,dumbbell lying one arm deltoid rear,3,push_vertical,delts
584,alternating bear crawl,2,full_body,cardiovascular system
585,weighted three bench dips,3,full_body,triceps
586,deep smith machine reverse decline close grip bench press,2,push_horizontal,pectorals
587,smith chair squat,2,squat,quads
589,lever deadlift,4,hinge,glutes
590,biceps pull-up,4,pull_vertical,biceps
591,cable reverse one arm curl,2,isolation_upper,biceps
592,dumbbell concentration curl,2,isolation_upper,biceps
593,dumbbell incline one arm fly,2,isolation_upper,pectorals
594,full planche push-up,5,push_horizontal,pectorals
595,horizontal dumbbell standing alternate overhead press,4,push_vertical,delts
596,weighted cossack squats (male),3,squat,glutes
598,barbell incline close grip bench press,3,push_horizontal,triceps
599,assisted lying calves stretch,1,full_body,calves
601,barbell guillotine bench press,3,push_horizontal,pectorals
602,kneeling plank tap shoulder (male),2,core,abs
603,stationary bike run,3,full_body,cardiovascular system
604,dumbbell biceps curl v sit on bosu ball,2,isolation_upper,biceps
605,band v-up,3,core,abs
606,dumbbell single leg squat,3,squat,glutes
608,cable two arm curl on incline bench,2,isolation_upper,biceps
609,kettlebell turkish get up (squat style),3,squat,glutes
610,ez barbell close grip preacher curl,2,isolation_upper,biceps
611,cable hip adduction,3,isolation_lower,adductors
612,isometric chest squeeze,2,push_horizontal,pectorals
613,front lever reps,5,pull_horizontal,upper back
614,barbell split squat v. 2,3,lunge,quads
615,assisted side lying adductor stretch,1,full_body,adductors
617,dumbbell cross body hammer curl v. 2,2,isolation_upper,biceps
618,cable kickback,2,isolation_upper,triceps
619,smith standing back wrist curl,2,isolation_upper,forearms
620,straddle maltese,5,core,abs
621,seated leg raise,2,core,abs
622,cable one arm fly on exercise ball,2,isolation_upper,pectorals
623,seated wide angle pose sequence,2,hinge,hamstrings
624,barbell decline wide-grip pullover,3,pull_vertical,lats
625,barbell lying close-grip triceps extension,2,isolation_upper,triceps
627,exercise ball hip flexor stretch pointed,1,hinge,glutes
628,barbell decline wide-grip press,3,push_horizontal,pectorals
629,barbell decline bent arm pullover,3,pull_vertical,lats
630,weighted pull-up,4,pull_vertical,lats
631,ez barbell jm bench press,3,push_horizontal,triceps
632,left hook. boxing,2,push_vertical,delts
634,dumbbell standing preacher curl,2,isolation_upper,biceps
635,dumbbell seated lateral raise v. 2,2,isolation_upper,delts
637,smith sprint lunge,3,lunge,glutes
638,dumbbell squat,3,squat,glutes
639,smith standing behind head military press,3,push_vertical,delts
640,star jump (male),2,plyometric,cardiovascular system
641,resistance band seated shoulder press with declined,3,push_vertical,delts
642,barbell side split squat v. 2,3,lunge,quads
643,cable forward raise,2,push_vertical,delts
644,cable low seated row,3,pull_horizontal,upper back
646,dumbbell preacher curl over exercise ball,2,isolation_upper,biceps
647,cable incline triceps extension,2,isolation_upper,triceps
648,dumbbell seated lateral raise,2,isolation_upper,delts
649,45° side bend,2,core,abs
650,dumbbell incline fly on exercise ball,2,isolation_upper,pectorals
652,cable standing reverse grip one arm overhead tricep extension,2,isolation_upper,triceps
653,weighted svend press,3,push_horizontal,pectorals
654,hanging leg raise,2,core,abs
657,kettlebell double push press,3,push_vertical,delts
658,kettlebell alternating hang clean,3,full_body,forearms
659,decline push-up,2,push_horizontal,pectorals
660,complete style ez bar lying close grip triceps extension behind head,2,isolation_upper,triceps
661,barbell pullover,3,pull_vertical,lats
662,dumbbell straight arm pullover,3,push_horizontal,pectorals
663,half knee bends (male),2,full_body,cardiovascular system
664,dumbbell seated one leg calf raise,2,isolation_lower,calves
666,suspended push-up,2,push_horizontal,pectorals
667,quick feet v. 2 with bent,2,squat,quads
668,lever narrow grip seated row - strength variation,3,pull_horizontal,upper back
669,chest and front of shoulder stretch micro,1,push_horizontal,pectorals
670,lever seated calf press,3,isolation_lower,calves
671,lever seated squat calf raise on leg press machine,2,squat,calves
672,barbell drag curl,2,isolation_upper,biceps
673,barbell front chest squat,3,squat,glutes
675,lever narrow grip seated row,3,pull_horizontal,upper back
676,dumbbell seated hammer curl,2,isolation_upper,biceps
